X A A A	A
X is an element	of
X is an example	of
X is an inferior	good
X is an n	x
X is an unbiased	estimator estimate
X is any amino	acid
X is approximately normally	distributed
X is assigned the	value
X is associated with	a the
X is assumed to	be
X is based on	the
X is better than	Y
X is both the	present
X is characterized by	a
X is considered to	be
X is defined as	the a follows
X is defined by	the
X is defined to	be
X is determined by	the
X is distributed according	to
X is entitled to	a
X is equal to	the zero or
X is equivalent to	the
X is found to	be
X is given by	the where The and
X is greater than	the or Y zero
X is independent of	the Y
X is inversely proportional	to
X is known as	the
X is known to	be
X is larger than	the
X is less than	or the Y
X is likely to	be
X is made up	of
X is more likely	to
X is much larger	than
X is much smaller	than
X is normal with	mean
X is normally distributed	with
X is not equal	to
X is not greater	than
X is not in	the
X is not the	same
X is obtained from	the
X is of full	rank
X is of the	form order
X is one of	the
X is or is	not
X is placed in	the
X is preferred to	Y
X is proportional to	the
X is referred to	as
X is related to	the Y
X is replaced by	the a
X is represented by	the a
X is said to	be have
X is set equal	to
X is shown in	Figure Fig
X is smaller than	the
X is supposed to	be
X is taken to	be
X is the Lagrange	multiplier
X is the Lagrangian	multiplier
X is the amount	of
X is the angle	between
X is the arithmetic	mean
X is the average	of number
X is the cause	of
X is the chemical	symbol
X is the coefficient	of
X is the concentration	of
X is the de	Broglie
X is the decay	constant
X is the design	matrix
X is the distance	from between
X is the father	of
X is the fraction	of
X is the independent	variable
X is the laser	wavelength
X is the latent	heat
X is the length	of
X is the level	of
X is the marginal	utility
X is the matrix	of
X is the mean	of free value
X is the midpoint	of
X is the mole	fraction
X is the name	of
X is the number	of
X is the optical	wavelength
X is the parent	of
X is the percentage	of
X is the product	of
X is the proportion	of
X is the quantity	of
X is the random	variable
X is the rate	of
X is the ratio	of
X is the reactance	of
X is the result	of
X is the same	as for
X is the sample	mean
X is the set	of
X is the sum	of
X is the symbol	for
X is the thermal	conductivity
X is the thickness	of
X is the total	number
X is the union	of
X is the value	of
X is the vector	of
X is the wave	length
X is the wavelength	of in and
X is then given	by
X is to say	that
X is to the	right left
X is treated as	a
X is used as	a the
X is used in	the
X is used to	indicate represent denote
X less than or	equal
X lies in the	interval
X marks the spot	where
X may be regarded	as
X may be said	to
X may be taken	as
X may or may	not
X must be equal	to
X must be greater	than
X must be less	than
X number of separate	articles
X o X X	X
X o o o	o
X of the Bankruptcy	Act
X of the Chandler	Act
X of the Charter	of
X of the Companies	Act
X of the Constitution	of
X of the Covenant	of
X of the League	Covenant of
X of the National	Bankruptcy
X of the Nicomachean	Ethics
X of the Public	Health
X of the Treaty	of
X on one side	of
X on the basis	of
X on the horizontal	axis
X or Y or	Z both
X or a Y	chromosome sex
X or the Y	chromosome
X ought to be	done
X ought to do	A
X per cent of	the
X per unit of	time
X prescription drug at	the
X ray of the	chest
X rays and blood	tests
X rays and gamma	rays
X rays and y	rays
X rays are produced	by when
X rays are used	to
X rays of the	skull chest
X rays or gamma	rays
X represent the number	of
X represents the number	of
X s X X	X
X s X s	X
X s s s	s
X scale factor Y	scale
X site results in	genetic
X such that X	is
X such that for	all
X syndrome is the	most
X syndrome of mental	retardation
X takes on a	value
X takes on the	value values
X tend to be	associated
X tend to contain	controversial
X the Learned of	Castile
X the length of	the
X the wave length	of
X the wavelength of	the
X to Y is	a
X to the financial	statements
X to the left	of
X to the price	of
X to the right	of
X turned out to	be
X turns out to	be
X v Bedfordshire County	Council
X v Federal Republic	of
X value gives it	large
X was born Malcolm	Little
X was found to	be
X was one of	the
X where X is	the
X where one or	more
X will assume a	value
X will be able	to
X will be denoted	by
X will be equal	to
X will be less	than
X will be treated	as
X will have to	be
X with Cardinals Giulio	de
X with respect to	the transactions Y a
X would have to	be
X x X X	X x
X x X x	X
X x x X	X
X x x x	x X
XA and XB are	the
XA is the mole	fraction
XI CHAPTER XII CHAPTER	XIII
XI Chapter XII Chapter	XIII
XI International Conference on	AIDS
XI International Congress of	Genetics
XI THE END OF	THE
XI The Judicial power	of
XI The judicial power	of
XI World Congress of	Sociology
XI XII I II	III
XI XII XIII XIV	XV
XI and Charles the	Bold
XI and XII of	the Paradise
XI of the Bankruptcy	Act
XI of the Charter	of
XI of the Constitution	of
XI of the Convention	and
XI of the General	Agreement
XI of the Merchant	Marine
XI of the Rules	of
XI of the Social	Security
XI of the Treaty	of
XI of the UN	Charter Convention
XI of the United	Nations
XI of the treaty	of
XI shall be applied	to
XI to return to	Rome
XII CHAPTER XIII CHAPTER	XIV
XII Chapter XIII Chapter	XIV
XII I II III	IV
XII INTERNATIONAL TRUSTEESHIP SYSTEM	Article
XII International Congress of	Nutrition
XII LAW AND ORDER	AND
XII The Electors shall	meet
XII The electors shall	meet
XII World Congress of	Sociology
XII World Congress on	Reading
XII XIII XIV XV	XVI
XII and Anne de	Bretagne
XII and Anne of	Brittany
XII and Peter the	Great
XII and XIII of	the
XII and the Collapse	of
XII and the Second	World
XII and the Third	Reich
XII of the Bankruptcy	Act
XII of the Constitution	of
XII of the Statute	of
XII of the Treaty	of
XII of the United	Nations
XIII CHAPTER XIV CHAPTER	XV
XIII Chapter XIV Chapter	XV
XIII International Congress of	Prehistoric
XIII XIV XV XVI	XVII
XIII and Anne of	Austria
XIII and Pope Pius	XI
XIII and XIV of	the
XIII and the Rise	of
XIII of the Bankruptcy	Act
XIII of the Constitution	of
XIII of the Potsdam	Agreement
XIII of the Rules	of
XIII of the Treaty	of
XIMENES RARE BOOKS FIRST	EDITIONS
XINHUA Domestic Service in	Chinese
XIT Ranch of Texas	and
XIV CHAPTER XV CHAPTER	XVI
XIV Chapter XV Chapter	XVI
XIV International Congress of	Applied
XIV THE INTERNATIONAL COURT	OF
XIV XV XVI XVII	XVIII
XIV and Frederick the	Great
XIV and Madame de	Montespan Maintenon
XIV and Mme de	Montespan
XIV and Twenty Million	Frenchmen
XIV and XV of	the
XIV and the Craft	of
XIV and the Greatness	of
XIV and the Origins	of
XIV came to the	throne
XIV et de Louis	XV
XIV et vingt millions	de
XIV in the seventeenth	century
XIV is said to	have
XIV of France and	the
XIV of France in	the
XIV of the Constitution	of
XIV of the Treaty	of
XIV revoked the Edict	of
XIX CHAPTER XX CHAPTER	XXI
XIX RATIFICATION AND SIGNATURE	Article
XIX The right of	citizens
XIX XX XXI XXII	XXIII
XIX and XX of	the
XIX i nachala XX	veka
XIX of the General	Agreement
XIX of the Social	Security
XIX of the Treaty	of
XL Congresso Internazionale degli	Americanisti
XL Randomised Intervention Trial	in
XL Randomized Intervention Trial	in
XL and Xc are	equal
XL in chronic heart	failure
XL is the inductive	reactance
XLI Congreso Internacional de	Americanistas
XLI International Congress of	Americanists
XLII Congres International des	Americanistes
XML Encryption Syntax and	Processing
XML Signature and XML	Encryption
XML Web Services and	Server
XML can be used	to
XML document as a	tree
XML document based on	the
XML document is well	formed
XML document shown in	Listing
XML document that conforms	to
XML document that contains	the
XML document that describes	the
XML documents into other	XML
XML documents that conform	to
XML file that contains	the
XML file that describes	the
XML is a markup	language
XML is a subset	of
XML is that it	is
XML representation of the	data
XO human embryos and	fetuses
XP For Dummies Quick	Reference
XP Help and Support	Center
XP Home Edition and	Windows
XP Home Edition does	not
XP Professional and Windows	Server XP
XP and Mac OS	X
XRD patterns of the	samples
XSLT can be used	to
XV CHAPTER XVI CHAPTER	XVII
XV Chapter XVI Chapter	XVII
XV International Congress of	Zoology
XV Konferentsiya Vsesoyuznoi Kommunisticheskoi	Partii
XV XVI XVII XVIII	XIX
XV and Louis XVI	styles periods
XV and Madame de	Pompadour
XV and XVI of	the
XV et le renversement	des
XV of the Criminal	Code
XV of the Treaty	of
XVI CHAPTER XVII CHAPTER	XVIII
XVI Chapter XVII Chapter	XVIII
XVI MEDICAL AND PUBLIC	HEALTH
XVI The Congress shall	have
XVI XVII XVIII XIX	XX
XVI and Marie Antoinette	were had in to
XVI and Queen Marie	Antoinette
XVI and XVII of	the
XVI and XXIII of	the
XVI and his family	were
XVI came to the	throne
XVI of the Covenant	of
XVI of the General	Agreement
XVI of the League	Covenant
XVI of the Social	Security
XVI of the Treaty	of
XVI para la historia	de
XVII CHAPTER XVIII CHAPTER	XIX
XVII Chapter XVIII Chapter	XIX
XVII TRANSITIONAL SECURITY ARRANGEMENTS	Article
XVII The Senate of	the
XVII XVIII XIX XX	XXI
XVII der Verenigde Oostindische	Compagnie
XVII of the Indian	Penal
XVII of the Treaty	of
XVIII CHAPTER XIX CHAPTER	XX
XVIII Century Oblong top	with
XVIII Century Type of	the
XVIII Chapter XIX Chapter	XX
XVIII International Congress of	Psychology
XVIII PUBLIC LIFE AND	VOLUNTARY
XVIII XIX XX XXI	XXII
XVIII and XIX of	the
XVIII i pervoi polovine	XIX
XVIII of the Social	Security
XVIIe et au XVIIIe	siecle
XVth Congress of the	International
XX BELGIUM OFFICE INTERNATIONAL	DE
XX BELGIUM Office International	de
XX CHAPTER XXI CHAPTER	XXII
XX Congress of the	CPSU
XX International Congress of	the
XX Social Services Block	Grant
XX X X X	X XX
XX X X XX	X
XX X XX X	X XX
XX XX X X	X
XX XX XX XX	XX
XX XXI XXII XXIII	XXIV
XX and XXI of	the
XX in females and	XY
XX in the female	and
XX males and XX	true
XX males and XY	females
XX of the Social	Security
XXI CHAPTER XXII CHAPTER	XXIII
XXI XXII XXIII XXIV	XXV
XXI of the Social	Security
XXII Congress of the	CPSU
XXII XXIII XXIV XXV	XXVI
XXII and XXIII of	GATT the
XXII of the Covenant	of
XXIII International Congress of	the
XXIII XXIV XXV XXVI	XXVII
XXIII and Pope Paul	VI
XXIII and the Second	Vatican
XXIII of the General	Agreement
XXIII of the Treaty	of
XXIV XXV XXVI XXVII	XXVIII
XXIV of the General	Agreement
XXIX International Congress of	Americanists
XXIX XXX XXXI XXXII	XXXIII
XXIXth International Congress of	Americanists
XXV XXVI XXVII XXVIII	XXIX
XXV of the Treaty	of
XXVI XXVII XXVIII XXIX	XXX
XXVI of the Code	of
XXVII XXVIII XXIX XXX	XXXI
XXVIII XXIX XXX XXXI	XXXII
XXVth Congress of the	CPSU
XXX X X X	X
XXX X X XXX	X
XXX XX X X	X
XXX XXX X X	X
XXX XXX XXX X	X
XXX XXX XXX XXX	XXX X
XXX XXXI XXXII XXXIII	XXXIV
XXX is the name	of
XXXI XXXII XXXIII XXXIV	XXXV
XXXII Ballades in Blue	China
XXXII XXXIII XXXIV XXXV	XXXVI
XXXIII Congreso Internacional de	Americanistas
XXXIII XXXIV XXXV XXXVI	XXXVII
XXXIII or pursuant to	the
XXXIV XXXV XXXVI XXXVII	XXXVIII
XXXIX Articles of the	Church
XXXIX Congreso Internacional de	Americanistas
XXXV Congreso Internacional de	Americanistas
XXXV XXXVI XXXVII XXXVIII	XXXIX
XXXV of the Code	of
XXXVI Congreso Internacional de	Americanistas
XXXX X X X	X
XXXX XXXX XXXX XXXX	XXXX
XXXXX XXXXX XXXXX XXXXX	XXXXX
XXXXXX XXXXXX XXXXXX XXXXXX	XXXXXX
XXth Century Comparative and	Conflicts
XXth Congress of the	Communist
XXth International Conference of	the
XXth International Congress of	Psychology
XY plane of the	current
XYZ Company as of	December
XYZ Company for the	year
Xa in the presence	of
Xanadu did Kubla Khan	A a
Xandra Kayden and Eddie	Mahe
Xavante Indians of the	Brazilian
Xavier Bagnoud Center for	Health
Xavier Centre of Historical	Research
Xavier Institute of Social	Service
Xavier University in New	Orleans
Xavier University in Nova	Scotia
Xavier del Bac near	Tucson
Xc is inversely proportional	to
Xc is the capacitive	reactance
Xenon Ytterbium Yttrium Zinc	Zirconium
Xenophanes complained in his	old
Xenophon and his Ten	Thousand
Xenophon and his ten	thousand
Xenophon and the History	of
Xenophon and the Ten	Thousand
Xenophon on Democracy and	Oligarchy
Xenophon tells us that	the
Xenopus laevis and Xenopus	mulleri
Xenopus oocytes injected with	rat
Xeroderma pigmentosum is a	rare
Xerox Business Products and	Systems
Xerox Corporation All rights	reserved
Xerox Palo Alto Research	Center Centre
Xerox Research Centre of	Canada
Xerox copy of Official	Gazette
Xerox software and equipment	at
Xerxes et id genus	omne
Xerxes imposed a stupendous	bridge
Xerxes in his invasion	of
Xerxes is said to	have
Xerxes to the Fall	of
Xerxes wept when he	viewed
Xhosa People in the	Days
Xi Omicron Pi Rho	Sigma
Xi Yi Jie He	Za
Xi is a vector	of
Xi is the mole	fraction
Xi is the number	of
Xiaoping and the Chinese	Revolution
Xiaoping and the Making	of
Xiaoping came to power	in
Xiaotong and Sociology in	Revolutionary
Xinhua Domestic Service in	Chinese
Xinhua General Overseas News	Service
Xinhua News Agency reported	that
Xinjiang Production and Construction	Corps
Xinjiang Uygur Autonomous Region	of and in
XlVth Congress of the	International
XlVth International Congress of	the
Xle Congres International des	Sciences
Xllth Congress of the	International
Xlth International Conference on	AIDS
Xlth International Congress of	Philosophy
Xmas and a Happy	New
Xn be a random	sample
Xt John H Newman	of TO The
Xt is a vector	of
Xth Congress of the	International
Xth International Congress of	Philosophy Anthropological
Xuat Ban Khoa Hoc	Xa
Xuat Ban Quan Doi	Nhan
Xue Fu Zhu Yu	Tang
Xulon Press books are	available
Xury a piece of	rusk
Xury and I went	to
Xury could not cut	off
Xury cried to me	to
Xury load both the	others
Xury on shore with	my
Xury said he would	have
Xury said it was	a
Xury said was a	lance
Xury saying he was	willing
Xury spoke by conversing	among
Xury was much the	better
Xury was my better	counsellor
Xylem Structure and the	Ascent
x Library of Congress	Catalog
x On the other	hand
x Printed in the	United
x SSC at room	temperature
x X X X	X x
x X X x	X
x X x X	X
x X x x	x
x a C o	p
x a m C	o
x and R control	charts
x and find the	corresponding
x and is denoted	by
x and is given	by
x and s are	the
x and standard deviation	a s
x and t are	the
x and t in	the
x and that of	the
x and the corresponding	values
x and the dependent	variable
x and the number	of
x and the second	with
x and the standard	deviation
x and the time	t
x and the value	of
x and the y	directions axes
x and time t	is
x and v are	the
x and v components	of
x and x are	the
x and y according	to
x and y and	the then z is a their
x and y are	the both in not independent two positive variables real related measured equal identical given integers any of said distinct used called different coordinates known connected zero to expressed linearly elements vectors defined each small taken functions respectively correlated negative assumed random numbers determined orthogonal also arbitrary chosen equivalent interchanged plotted at uncorrelated obtained members now then found adjacent normally statistically mutually true considered
x and y as	the functions shown follows a well
x and y at	the
x and y axes	are of and in respectively is as to at for
x and y be	the two any
x and y being	the
x and y belong	to
x and y by	the
x and y can	be not
x and y components	of are and
x and y coordinate	values axes
x and y coordinates	of are for and in to as on that at
x and y correspond	to
x and y corresponding	to
x and y could	be
x and y denote	the
x and y dimensions	of
x and y direction	respectively
x and y directions	are respectively and is of in at as for can to by
x and y do	not
x and y does	not
x and y for	the which each a
x and y from	the
x and y have	the been a
x and y if	and
x and y in	the terms a this Fig X Figure A each G S Eq
x and y into	the
x and y is	the defined given a not equal
x and y may	be
x and y might	be
x and y must	be satisfy
x and y of	the a
x and y on	the
x and y position	of
x and y positions	of
x and y range	over
x and y refer	to
x and y represent	the
x and y satisfy	the
x and y should	be
x and y so	that
x and y stand	for
x and y such	that
x and y that	satisfy are will
x and y to	be the
x and y values	of are for in to and
x and y variables	are
x and y velocity	components
x and y we	have
x and y which	are satisfy
x and y will	be
x and y with	the respect a
x and y would	be
x and z are	the
x and z axes	are
x and z components	of
x and z coordinates	of
x and z directions	are
x and z in	the
x are assumed to	be
x are given in	Table
x are shown in	Fig
x are the same	as
x as a function	of
x as a result	of
x as an estimate	of
x as long as	wide the
x as shown in	Fig Figure
x as the independent	variable
x as the number	of
x as the sum	of
x as well as	the
x at the beginning	of
x at the end	of
x at the same	time
x at the time	t
x at time t	is and
x axis and the	y other
x axis and y	axis
x axis as shown	in
x axis at a	distance
x axis at the	point
x axis corresponds to	the
x axis in the	direction
x axis is along	the
x axis is equal	to
x axis is given	by
x axis is in	the
x axis is parallel	to
x axis is perpendicular	to
x axis parallel to	the
x axis perpendicular to	the
x axis to the	right
x axis with a	velocity
x be a point	of in
x be a random	variable
x be an element	of
x be the amount	of
x be the distance	of from
x be the fraction	of
x be the length	of
x be the number	of
x be the weight	of
x being the number	of
x belongs to the	class set
x between a and	b
x by means of	the a
x can be any	number
x can be approximated	by
x can be calculated	from by
x can be defined	as
x can be determined	by from
x can be expressed	as in
x can be found	by from
x can be interpreted	as
x can be obtained	by from
x can be regarded	as
x can be replaced	by
x can be represented	by
x can be used	to
x can be written	as in
x can not be	a
x component of the	velocity momentum force electric resultant vector acceleration field magnetic
x components of the	forces
x containing an area	of
x coordinate of the	center point centroid
x denote the number	of
x denotes the number	of
x depends only on	the
x direction due to	the
x direction is given	by
x direction with a	velocity speed
x direction with respect	to
x does not appear	in
x does not belong	to
x does not depend	on
x does not have	the
x does not occur	in free
x due to a	unit
x equal the number	of
x equals the number	of
x for a given	value
x for all values	of
x for all x	in
x for different values	of
x for each of	the
x for each value	of
x for the number	of
x for values of	x
x for various values	of
x for which the	function
x from both sides	of
x from its equilibrium	position
x from one end	of
x from one of	the
x from the axis	of
x from the center	of
x from the centre	of
x from the end	of
x from the equilibrium	position
x from the fixed	end
x from the free	end
x from the leading	edge
x from the left	support end
x from the origin	is of
x from the plane	of
x from the point	of
x from the sending	end
x from the surface	of is
x from the top	of
x g and the	supernatant
x g for one	hour
x gets closer and	closer
x gets larger and	larger
x greater than or	equal
x has a normal	distribution
x has a value	of
x has been replaced	by
x has the property	of
x has the relation	R
x has the same	value
x if and only	if
x if there is	a
x in X such	that
x in each of	the
x in front of	the
x in such a	way
x in terms of	the y a
x in the above	equation
x in the case	of
x in the direction	of
x in the domain	of
x in the equation	of and
x in the expression	for
x in the first	equation
x in the following	equation
x in the form	of
x in the interior	of
x in the neighborhood	of
x in the original	equation
x in the presence	of
x in the range	of
x in the same	way
x in the second	equation
x in the upper	right
x in the vicinity	of
x in this case	is
x is A then	y
x is a binomial	random
x is a cause	of
x is a column	vector
x is a continuous	variable random
x is a discrete	random
x is a factor	of
x is a fixed	point
x is a free	variable
x is a function	of
x is a human	being
x is a linear	function
x is a list	of
x is a man	and
x is a measure	of
x is a member	of
x is a multiple	of
x is a natural	number
x is a negative	number
x is a normally	distributed
x is a parent	of
x is a part	of
x is a point	of in
x is a positive	number integer
x is a prime	number
x is a property	of
x is a random	variable
x is a rational	number
x is a real	number variable
x is a root	of
x is a set	of
x is a solution	of to
x is a straight	line
x is a subset	of
x is a true	sentence
x is a value	of
x is a variable	of and that
x is a vector	of
x is a whole	number
x is added to	the
x is an ancestor	of
x is an eigenvector	of
x is an element	of
x is an estimate	of
x is an even	number integer
x is an extreme	point
x is an independent	variable
x is an individual	variable
x is an instance	of
x is an integer	and
x is an odd	number
x is an optimal	solution
x is an unbiased	estimator
x is any real	number
x is approximately equal	to
x is approximately normally	distributed
x is assigned the	value
x is assigned to	the
x is associated with	a
x is assumed to	be
x is at least	as
x is better than	y
x is between a	and
x is between y	and
x is called the	independent
x is close to	the
x is considered to	be
x is contained in	the
x is defined as	the a
x is defined by	the
x is defined to	be
x is determined by	the
x is directly proportional	to
x is distance along	the
x is distance from	the
x is due to	the
x is equal to	the zero or y a
x is equivalent to	the
x is expressed as	a
x is expressed in	radians
x is found to	be
x is given by	the where The and a Eq
x is greater than	or y the zero
x is identical to	y
x is identical with	y the
x is in meters	and
x is in the	range interval domain direction
x is independent of	the
x is inversely proportional	to
x is known as	the
x is known to	be
x is larger than	the
x is less than	or the y a zero
x is likely to	be
x is measured along	the
x is measured from	the
x is measured in	the
x is much larger	than
x is much less	than
x is much smaller	than
x is negative and	y
x is normally distributed	with
x is not a	member
x is not an	element integer
x is not equal	to
x is not free	in
x is not greater	than
x is not identical	with
x is not in	the
x is not less	than
x is not the	same
x is obtained from	the
x is of the	form order
x is one of	the
x is or is	not
x is parallel to	the
x is part of	y
x is positive or	negative
x is preferred to	y
x is proportional to	the
x is referred to	as
x is related to	the y
x is replaced by	the a
x is represented by	the a
x is said to	be have
x is set equal	to
x is shown in	Fig Figure
x is small compared	to with
x is smaller than	the
x is socially preferred	to
x is soluble in	water
x is such that	the it
x is supposed to	be
x is taken as	the
x is taken to	be
x is taller than	y
x is the amount	of
x is the angle	between of
x is the arithmetic	mean
x is the average	of
x is the cause	of
x is the change	in
x is the coefficient	of
x is the concentration	of
x is the coordinate	of along in
x is the degree	of
x is the depth	of
x is the deviation	of
x is the difference	between
x is the direction	of
x is the displacement	of from
x is the distance	from of between along in measured to traveled the
x is the father	of
x is the fraction	of
x is the height	of
x is the horizontal	distance coordinate
x is the independent	variable
x is the input	vector
x is the length	of
x is the level	of
x is the location	of
x is the logarithm	of
x is the mass	of
x is the mean	of value
x is the molar	fraction
x is the mole	fraction
x is the name	of
x is the number	of
x is the path	length
x is the percentage	of
x is the position	of vector
x is the probability	that of
x is the product	of
x is the proportion	of
x is the quantity	of
x is the radius	of
x is the random	variable
x is the rate	of
x is the ratio	of
x is the relaxation	time
x is the result	of
x is the same	as for
x is the sample	mean
x is the set	of
x is the shear	stress
x is the size	of
x is the slope	of
x is the solution	of
x is the spatial	coordinate
x is the state	vector
x is the sum	of
x is the thickness	of
x is the time	in
x is the total	number
x is the value	of
x is the vector	of
x is the volume	of
x is the weight	of
